sens,numerobus,numerobuskr,voiturekr,idbus,idligne,etat,destination, nomcourtligne,coordonnees,date,heure
 1, 191033630, 830, '0303', '191033630', '0003', 'En ligne', 'Patton', 'C3', [48.087821; -1.674563],2023-03-04,19:33:00
 0, 208986188, 908, '1307', '208986188', '0013', 'En ligne', 'Porte de Ker Lann', '13', [48.085454; -1.62724],2023-03-04,19:33:00
 0, 209676671, 911, '0405', '209676671', '0004', 'En ligne', 'Grand Quartier', 'C4', [48.124792; -1.633393],2023-03-04,19:33:00
 1, 211517959, 919, '5303', '211517959', '0053', 'En ligne', 'Rennes', '53', [48.122941; -1.803169],2023-03-04,19:33:00
 0, 213359247, 927, '5302', '213359247', '0053', 'En ligne', 'La Chapelle-Th', '53', [48.118806; -1.759576],2023-03-04,19:33:00
 0, 230391161, 1001, '5001', '230391161', '0050', 'En ligne', 'Cesson Viasilva', '50', [48.155196; -1.573154],2023-03-04,19:33:00
 0, 231081644, 1004, '7501', '231081644', '0075', 'En ligne', 'Rennes', '75', [48.041435; -1.553398],2023-03-04,19:33:00
 1, 232692771, 1011, '6201', '232692771', '0073', 'En ligne', 'Rennes | La Poterie', '73', [48.014911; -1.599817],2023-03-04,19:33:00
 1, 243510338, 1058, '6703', '243510338', '0067', 'En ligne', 'Brécé', '67', [48.108693; -1.610204],2023-03-04,19:33:00
 0, 466766508, 2028, '7801', '466766508', '0078', 'En ligne', 'Rennes', '78', [48.151979; -1.686025],2023-03-04,19:33:00
 1, 473211016, 2056, '7701', '473211016', '0077', 'En ligne', 'Rennes', '77', [48.120517; -1.708462],2023-03-04,19:33:00
 0, 474361821, 2061, '7101', '474361821', '0071', 'En ligne', 'Rennes', '71', [48.207822; -1.630738],2023-03-04,19:33:00
 1, 692554449, 3009, '5304', '692554449', '0053', 'En ligne', 'Rennes', '53', [48.109865; -1.678318],2023-03-04,19:33:00
 0, 693014771, 3011, '5602', '693014771', '0056', 'En ligne', 'Chavagne', '56', [48.107161; -1.721889],2023-03-04,19:33:00
 1, 696697347, 3027, '5601', '696697347', '0056', 'En ligne', 'Rennes', '56', [48.080945; -1.775553],2023-03-04,19:33:00
 0, 927778991, 4031, '6701', '927778991', '0067', 'En ligne', 'Rennes', '67', [48.114059; -1.647971],2023-03-04,19:33:00
 0, 1151495483, 5003, '5902', '1151495483', '0059', 'En ligne', 'Bruz', '59', [48.088241; -1.674425],2023-03-04,19:33:00
 0, 1151725644, 5004, '6102', '1151725644', '0061', 'En ligne', 'Saint-Erblon', '61', [48.088796; -1.674515],2023-03-04,19:33:00
 0, 30381252, 132, '3203', '30381252', '0032', 'En ligne', 'Alma Sud', '32', [48.151727; -1.684211],2023-03-04,19:33:00
 1, 50635420, 220, '0103', '50635420', '0001', 'En ligne', 'Champs Blancs', 'C1', [48.104994; -1.677483],2023-03-04,19:33:00
